Redshift r_mag g-r_col g-r_slope z_mag r-z_col r-z_slope
0.0372 14.393555880000001 0.8251809696 -0.02895628 -10.0 -10.0 -10.0
0.0373 14.39984117 0.8254004864 -0.02896887 -10.0 -10.0 -10.0
0.0374 14.406126460000001 0.8256200032000001 -0.02898146 -10.0 -10.0 -10.0
0.0375 14.41241175 0.82583952 -0.02899405 -10.0 -10.0 -10.0
0.0376 14.41869704 0.8260590368 -0.02900664 -10.0 -10.0 -10.0
0.0377 14.42498233 0.8262785536 -0.02901923 -10.0 -10.0 -10.0
0.0378 14.43126762 0.8264980704 -0.02903182 -10.0 -10.0 -10.0
0.0379 14.43755291 0.8267175872 -0.02904441 -10.0 -10.0 -10.0
0.038 14.4438382 0.826937104 -0.029057 -10.0 -10.0 -10.0
0.0381 14.450123490000001 0.8271566208000001 -0.02906959 -10.0 -10.0 -10.0
0.0382 14.45640878 0.8273761376000001 -0.02908218 -10.0 -10.0 -10.0
0.0383 14.462694070000001 0.8275956544 -0.02909477 -10.0 -10.0 -10.0
0.0384 14.46897936 0.8278151712 -0.02910736 -10.0 -10.0 -10.0
0.0385 14.47526465 0.828034688 -0.02911995 -10.0 -10.0 -10.0
0.0386 14.48154994 0.8282542048 -0.02913254 -10.0 -10.0 -10.0
0.0387 14.48783523 0.8284737216 -0.029145129999999998 -10.0 -10.0 -10.0
0.0388 14.494120520000001 0.8286932384 -0.029157719999999998 -10.0 -10.0 -10.0
0.0389 14.50040581 0.8289127552000001 -0.029170309999999998 -10.0 -10.0 -10.0
0.039 14.506691100000001 0.8291322720000001 -0.029182899999999998 -10.0 -10.0 -10.0
0.0391 14.51297639 0.8293517888 -0.02919549 -10.0 -10.0 -10.0
0.0392 14.51926168 0.8295713056 -0.02920808 -10.0 -10.0 -10.0
0.0393 14.52554697 0.8297908224 -0.02922067 -10.0 -10.0 -10.0
0.0394 14.53183226 0.8300103392 -0.02923326 -10.0 -10.0 -10.0
0.0395 14.53811755 0.830229856 -0.02924585 -10.0 -10.0 -10.0
0.0396 14.54440284 0.8304493728 -0.02925844 -10.0 -10.0 -10.0
0.0397 14.550688130000001 0.8306688896000001 -0.02927103 -10.0 -10.0 -10.0
0.0398 14.55697342 0.8308884064000001 -0.02928362 -10.0 -10.0 -10.0
0.0399 14.563258710000001 0.8311079232 -0.02929621 -10.0 -10.0 -10.0
0.04 14.569544 0.83132744 -0.0293088 -10.0 -10.0 -10.0
0.0401 14.574422400000001 0.8315299623 -0.029320926 -10.0 -10.0 -10.0
0.0402 14.5793008 0.8317324846 -0.029333052 -10.0 -10.0 -10.0
0.0403 14.584179200000001 0.8319350069 -0.029345178 -10.0 -10.0 -10.0
0.0404 14.5890576 0.8321375292000001 -0.029357304 -10.0 -10.0 -10.0
0.0405 14.593936000000001 0.8323400515 -0.02936943 -10.0 -10.0 -10.0
0.0406 14.5988144 0.8325425738000001 -0.029381556 -10.0 -10.0 -10.0
0.0407 14.603692800000001 0.8327450961 -0.029393682 -10.0 -10.0 -10.0
0.0408 14.6085712 0.8329476184 -0.029405808 -10.0 -10.0 -10.0
0.0409 14.613449600000001 0.8331501407 -0.029417934 -10.0 -10.0 -10.0
0.041 14.618328 0.833352663 -0.02943006 -10.0 -10.0 -10.0
0.0411 14.6232064 0.8335551853000001 -0.029442186 -10.0 -10.0 -10.0
0.0412 14.6280848 0.8337577076 -0.029454312 -10.0 -10.0 -10.0
0.0413 14.6329632 0.8339602299000001 -0.029466438 -10.0 -10.0 -10.0
0.0414 14.6378416 0.8341627522 -0.029478564 -10.0 -10.0 -10.0
0.0415 14.64272 0.8343652745 -0.02949069 -10.0 -10.0 -10.0
0.0416 14.6475984 0.8345677968 -0.029502816 -10.0 -10.0 -10.0
0.0417 14.6524768 0.8347703191 -0.029514942 -10.0 -10.0 -10.0
0.0418 14.657355200000001 0.8349728414 -0.029527068 -10.0 -10.0 -10.0
0.0419 14.6622336 0.8351753637 -0.029539194 -10.0 -10.0 -10.0
0.042 14.667112000000001 0.8353778860000001 -0.02955132 -10.0 -10.0 -10.0
0.0421 14.6719904 0.8355804083 -0.029563446 -10.0 -10.0 -10.0
0.0422 14.676868800000001 0.8357829306 -0.029575572 -10.0 -10.0 -10.0
0.0423 14.6817472 0.8359854529 -0.029587698 -10.0 -10.0 -10.0
0.0424 14.686625600000001 0.8361879752 -0.029599824 -10.0 -10.0 -10.0
0.0425 14.691504 0.8363904975 -0.029611949999999998 -10.0 -10.0 -10.0
0.0426 14.696382400000001 0.8365930198 -0.029624076 -10.0 -10.0 -10.0
0.0427 14.7012608 0.8367955421000001 -0.029636202 -10.0 -10.0 -10.0
0.0428 14.7061392 0.8369980644 -0.029648327999999998 -10.0 -10.0 -10.0
0.0429 14.7110176 0.8372005867 -0.029660454 -10.0 -10.0 -10.0
0.043 14.715896 0.837403109 -0.02967258 -10.0 -10.0 -10.0
0.0431 14.7207744 0.8376056313 -0.029684705999999998 -10.0 -10.0 -10.0
0.0432 14.7256528 0.8378081536 -0.029696832 -10.0 -10.0 -10.0
0.0433 14.7305312 0.8380106759 -0.029708958 -10.0 -10.0 -10.0
0.0434 14.7354096 0.8382131982000001 -0.029721084 -10.0 -10.0 -10.0
0.0435 14.740288000000001 0.8384157205 -0.02973321 -10.0 -10.0 -10.0
0.0436 14.7451664 0.8386182428 -0.029745336 -10.0 -10.0 -10.0
0.0437 14.750044800000001 0.8388207651 -0.029757462 -10.0 -10.0 -10.0
0.0438 14.7549232 0.8390232874 -0.029769588 -10.0 -10.0 -10.0
0.0439 14.759801600000001 0.8392258097 -0.029781714 -10.0 -10.0 -10.0
0.044 14.76468 0.839428332 -0.02979384 -10.0 -10.0 -10.0
0.0441 14.769558400000001 0.8396308543000001 -0.029805966 -10.0 -10.0 -10.0
0.0442 14.7744368 0.8398333766 -0.029818092 -10.0 -10.0 -10.0
0.0443 14.779315200000001 0.8400358989 -0.029830218 -10.0 -10.0 -10.0
0.0444 14.7841936 0.8402384212 -0.029842344 -10.0 -10.0 -10.0
0.0445 14.789072 0.8404409435 -0.02985447 -10.0 -10.0 -10.0
0.0446 14.7939504 0.8406434658 -0.029866596 -10.0 -10.0 -10.0
0.0447 14.7988288 0.8408459881 -0.029878722 -10.0 -10.0 -10.0
0.0448 14.8037072 0.8410485104000001 -0.029890848 -10.0 -10.0 -10.0
0.0449 14.8085856 0.8412510327 -0.029902974 -10.0 -10.0 -10.0
0.045 14.813464 0.841453555 -0.0299151 -10.0 -10.0 -10.0
0.0451 14.8183424 0.8416560773 -0.029927226 -10.0 -10.0 -10.0
0.0452 14.823220800000001 0.8418585996 -0.029939352 -10.0 -10.0 -10.0
0.0453 14.8280992 0.8420611219 -0.029951478 -10.0 -10.0 -10.0
0.0454 14.832977600000001 0.8422636442 -0.029963604 -10.0 -10.0 -10.0
0.0455 14.837856 0.8424661665000001 -0.02997573 -10.0 -10.0 -10.0
0.0456 14.842734400000001 0.8426686888 -0.029987856 -10.0 -10.0 -10.0
0.0457 14.8476128 0.8428712111000001 -0.029999982 -10.0 -10.0 -10.0
0.0458 14.852491200000001 0.8430737334 -0.030012108 -10.0 -10.0 -10.0
0.0459 14.8573696 0.8432762557 -0.030024234 -10.0 -10.0 -10.0
0.046 14.862248000000001 0.843478778 -0.03003636 -10.0 -10.0 -10.0
0.0461 14.8671264 0.8436813003 -0.030048486 -10.0 -10.0 -10.0
0.0462 14.872004800000001 0.8438838226 -0.030060612 -10.0 -10.0 -10.0
0.0463 14.8768832 0.8440863449 -0.030072738 -10.0 -10.0 -10.0
0.0464 14.8817616 0.8442888672000001 -0.030084864 -10.0 -10.0 -10.0
0.0465 14.88664 0.8444913895 -0.03009699 -10.0 -10.0 -10.0
0.0466 14.8915184 0.8446939118 -0.030109116000000002 -10.0 -10.0 -10.0
0.0467 14.896396800000002 0.8448964341 -0.030121242 -10.0 -10.0 -10.0
0.0468 14.9012752 0.8450989564 -0.030133368 -10.0 -10.0 -10.0
0.0469 14.906153600000001 0.8453014787 -0.030145494000000002 -10.0 -10.0 -10.0
0.047 14.911032 0.845504001 -0.03015762 -10.0 -10.0 -10.0
0.0471 14.915910400000001 0.8457065233000001 -0.030169746 -10.0 -10.0 -10.0
0.0472 14.9207888 0.8459090456 -0.030181872000000002 -10.0 -10.0 -10.0
0.0473 14.925667200000001 0.8461115679 -0.030193998 -10.0 -10.0 -10.0
0.0474 14.9305456 0.8463140902 -0.030206124 -10.0 -10.0 -10.0
0.0475 14.935424000000001 0.8465166125 -0.030218250000000002 -10.0 -10.0 -10.0
0.0476 14.9403024 0.8467191348 -0.030230376 -10.0 -10.0 -10.0
0.0477 14.945180800000001 0.8469216571 -0.030242502 -10.0 -10.0 -10.0
0.0478 14.9500592 0.8471241794000001 -0.030254628 -10.0 -10.0 -10.0
0.0479 14.954937600000001 0.8473267017 -0.030266754 -10.0 -10.0 -10.0
0.048 14.959816 0.847529224 -0.03027888 -10.0 -10.0 -10.0
0.0481 14.9646944 0.8477317463 -0.030291006000000002 -10.0 -10.0 -10.0
0.0482 14.9695728 0.8479342686 -0.030303132 -10.0 -10.0 -10.0
0.0483 14.9744512 0.8481367909 -0.030315258 -10.0 -10.0 -10.0
0.0484 14.9793296 0.8483393132 -0.030327384 -10.0 -10.0 -10.0
0.0485 14.984208 0.8485418355000001 -0.03033951 -10.0 -10.0 -10.0
0.0486 14.989086400000001 0.8487443578 -0.030351636 -10.0 -10.0 -10.0
0.0487 14.9939648 0.8489468801 -0.030363762 -10.0 -10.0 -10.0
0.0488 14.998843200000001 0.8491494024 -0.030375888 -10.0 -10.0 -10.0
0.0489 15.0037216 0.8493519247 -0.030388014 -10.0 -10.0 -10.0
0.049 15.008600000000001 0.849554447 -0.03040014 -10.0 -10.0 -10.0
0.0491 15.0134784 0.8497569693 -0.030412266 -10.0 -10.0 -10.0
0.0492 15.018356800000001 0.8499594916000001 -0.030424392 -10.0 -10.0 -10.0
0.0493 15.0232352 0.8501620139 -0.030436518 -10.0 -10.0 -10.0
0.0494 15.028113600000001 0.8503645362 -0.030448644 -10.0 -10.0 -10.0
0.0495 15.032992 0.8505670585 -0.03046077 -10.0 -10.0 -10.0
0.0496 15.037870400000001 0.8507695808 -0.030472896 -10.0 -10.0 -10.0
0.0497 15.0427488 0.8509721031 -0.030485022 -10.0 -10.0 -10.0
0.0498 15.0476272 0.8511746254 -0.030497148 -10.0 -10.0 -10.0
0.0499 15.0525056 0.8513771477000001 -0.030509274 -10.0 -10.0 -10.0
0.05 15.057384 0.85157967 -0.0305214 -10.0 -10.0 -10.0
0.0501 15.061381410000001 0.8517361298 -0.030533062 -10.0 -10.0 -10.0
0.0502 15.065378820000001 0.8518925896 -0.030544724000000002 -10.0 -10.0 -10.0
0.0503 15.069376230000001 0.8520490494 -0.030556386 -10.0 -10.0 -10.0
0.0504 15.073373640000002 0.8522055092 -0.030568048 -10.0 -10.0 -10.0
0.0505 15.07737105 0.852361969 -0.03057971 -10.0 -10.0 -10.0
